be_trigger_mult	partial_frac	lock_atr_mult	adx_min	atr_min_pct	breakout_min_delta	result_line	diag3_line	reasons_line
1.0	0.25	0.4	15	0.0015	0.0006	2026-02-10 04:33:51.184 | INFO     | __main__:main:653 - RESULT | trades=58 wins=24 losses=34 winrate=41.38% pnl_total=-0.861759335780317208947845239 max_dd=0.939355038008894792788638199 pf=0.4775635618278940082885519963 avg_win=0.03282256205124814951474430133 avg_loss=0.04851473014736096462652083738 expectancy=-0.01485791958241926222323871102 avg_trade_bars=4.34 open_position=False	2026-02-10 04:33:51.183 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.078625067210167679775536912 avg_pnl=0.01123215245859538282507670171 avg_bars=5.86 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=33 pnl=-1.614214420010272797301708471 avg_pnl=-0.04891558848515978173641540821 avg_bars=3.70 | tp: n=17 pnl=0.709116422019787908578326320 avg_pnl=0.041712730707046347563430960 avg_bars=4.94	2026-02-10 04:33:51.184 | INFO     | __main__:main:670 - REASONS | {'sl': 33, 'tp': 17, 'signal': 1, 'be': 7}
1.0	0.25	0.4	15	0.0020	0.0006	2026-02-10 04:33:57.644 | INFO     | __main__:main:653 - RESULT | trades=45 wins=19 losses=26 winrate=42.22% pnl_total=-0.658868951286124946457206608 max_dd=0.789735052499346920131469475 pf=0.5182403411178799275572519015 avg_win=0.03730321188947103333164744537 avg_loss=0.05260115296869517614455800269 expectancy=-0.01464153225080277658793792462 avg_trade_bars=4.51 open_position=False	2026-02-10 04:33:57.643 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.073328097491230531935114580 avg_pnl=0.01222134958187175532251909667 avg_bars=6.00 | sl: n=26 pnl=-1.367629977186074579758508070 avg_pnl=-0.05260115296869517614455800269 avg_bars=3.88 | tp: n=13 pnl=0.635432928408719101366186882 avg_pnl=0.04887945603143993087432206785 avg_bars=5.08	2026-02-10 04:33:57.644 | INFO     | __main__:main:670 - REASONS | {'sl': 26, 'tp': 13, 'be': 6}
1.0	0.25	0.4	15	0.0025	0.0006	2026-02-10 04:34:03.882 | INFO     | __main__:main:653 - RESULT | trades=40 wins=17 losses=23 winrate=42.50% pnl_total=-0.545298868564619408570226697 max_dd=0.623538589354532957780515422 pf=0.5644115100567610801880133904 avg_win=0.04156283293880338592013019424 avg_loss=0.05442900124018595518314956517 expectancy=-0.01363247171411548521425566742 avg_trade_bars=4.58 open_position=False	2026-02-10 04:34:03.881 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.060805423227346241859304868 avg_pnl=0.0121610846454692483718609736 avg_bars=6.00 | sl: n=23 pnl=-1.251867028524276969212439999 avg_pnl=-0.05442900124018595518314956517 avg_bars=4.17 | tp: n=12 pnl=0.645762736732311318782908434 avg_pnl=0.0538135613943592765652423695 avg_bars=4.75	2026-02-10 04:34:03.882 | INFO     | __main__:main:670 - REASONS | {'sl': 23, 'tp': 12, 'be': 5}
1.0	0.25	0.4	15	0.0015	0.0010	2026-02-10 04:34:09.723 | INFO     | __main__:main:653 - RESULT | trades=56 wins=20 losses=36 winrate=35.71% pnl_total=-1.090479475389750218757366242 max_dd=1.090479475389750218757366242 pf=0.3761305331038075400527832725 avg_win=0.03287247158109080312966298905 avg_loss=0.04855358075032128559307294508 expectancy=-0.01947284777481696819209582575 avg_trade_bars=4.14 open_position=False	2026-02-10 04:34:09.722 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.079824345973780664243538058 avg_pnl=0.01140347799625438060621972257 avg_bars=6.71 | sl: n=36 pnl=-1.747928907011566281350626023 avg_pnl=-0.04855358075032128559307294508 avg_bars=3.50 | tp: n=13 pnl=0.577625085648035398349721723 avg_pnl=0.04443269889600272294997859408 avg_bars=4.54	2026-02-10 04:34:09.723 | INFO     | __main__:main:670 - REASONS | {'sl': 36, 'tp': 13, 'be': 7}
1.0	0.25	0.4	15	0.0020	0.0010	2026-02-10 04:34:16.188 | INFO     | __main__:main:653 - RESULT | trades=44 wins=16 losses=28 winrate=36.36% pnl_total=-0.866291545426985184547660132 max_dd=0.919561944411629574381130039 pf=0.4071726870292266933439860109 avg_win=0.03718728968207103565033593112 avg_loss=0.05218886358357577696260839393 expectancy=-0.01968844421424966328517409391 avg_trade_bars=4.20 open_position=False	2026-02-10 04:34:16.187 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=6 pnl=0.074527375920519838631583485 avg_pnl=0.01242122932008663977193058083 avg_bars=7.00 | sl: n=28 pnl=-1.461288180340121754953035030 avg_pnl=-0.05218886358357577696260839393 avg_bars=3.57 | tp: n=10 pnl=0.520469258992616731773791413 avg_pnl=0.0520469258992616731773791413 avg_bars=4.30	2026-02-10 04:34:16.188 | INFO     | __main__:main:670 - REASONS | {'sl': 28, 'tp': 10, 'be': 6}
1.0	0.25	0.4	15	0.0025	0.0010	2026-02-10 04:34:23.140 | INFO     | __main__:main:653 - RESULT | trades=39 wins=15 losses=24 winrate=38.46% pnl_total=-0.688514727654930812244858898 max_dd=0.689158746216266777614354663 pf=0.4714120038603897607034452719 avg_win=0.040935991713979469536185828 avg_loss=0.05427310847352595230365192992 expectancy=-0.01765422378602386698063740764 avg_trade_bars=4.49 open_position=False	2026-02-10 04:34:23.139 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.061992636773894127731792694 avg_pnl=0.0123985273547788255463585388 avg_bars=7.20 | sl: n=24 pnl=-1.302554603364622855287646318 avg_pnl=-0.05427310847352595230365192992 avg_bars=3.96 | tp: n=10 pnl=0.552047238935797915310994726 avg_pnl=0.0552047238935797915310994726 avg_bars=4.40	2026-02-10 04:34:23.140 | INFO     | __main__:main:670 - REASONS | {'sl': 24, 'tp': 10, 'be': 5}
1.0	0.25	0.4	15	0.0015	0.0015	2026-02-10 04:34:28.967 | INFO     | __main__:main:653 - RESULT | trades=49 wins=15 losses=34 winrate=30.61% pnl_total=-1.097621832796998572868416580 max_dd=1.097621832796998572868416580 pf=0.3385449700206343494554327260 avg_win=0.03745221606270503802517510733 avg_loss=0.04880603158051688656606009382 expectancy=-0.02240044556728568516057993020 avg_trade_bars=4.02 open_position=False	2026-02-10 04:34:28.966 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.055856032697787453719092121 avg_pnl=0.0111712065395574907438184242 avg_bars=7.80 | sl: n=34 pnl=-1.659405073737574143246043190 avg_pnl=-0.04880603158051688656606009382 avg_bars=3.44 | tp: n=10 pnl=0.505927208242788116658534489 avg_pnl=0.0505927208242788116658534489 avg_bars=4.10	2026-02-10 04:34:28.967 | INFO     | __main__:main:670 - REASONS | {'sl': 34, 'tp': 10, 'be': 5}
1.0	0.25	0.4	15	0.0020	0.0015	2026-02-10 04:34:35.431 | INFO     | __main__:main:653 - RESULT | trades=41 wins=14 losses=27 winrate=34.15% pnl_total=-0.867787801867844170364328101 max_dd=0.921058200852488560197798008 pf=0.3860796723211754209997102996 avg_win=0.03898077126906065337077948857 avg_loss=0.05235254072721086361315707189 expectancy=-0.02116555614311815049669092929 avg_trade_bars=4.17 open_position=False	2026-02-10 04:34:35.430 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=5 pnl=0.055872531673722837312447072 avg_pnl=0.0111745063347445674624894144 avg_bars=7.80 | sl: n=27 pnl=-1.413518599634693317555240941 avg_pnl=-0.05235254072721086361315707189 avg_bars=3.52 | tp: n=9 pnl=0.489858266093126309878465768 avg_pnl=0.05442869623256958998649619644 avg_bars=4.11	2026-02-10 04:34:35.431 | INFO     | __main__:main:670 - REASONS | {'sl': 27, 'tp': 9, 'be': 5}
1.0	0.25	0.4	15	0.0025	0.0015	2026-02-10 04:34:42.000 | INFO     | __main__:main:653 - RESULT | trades=36 wins=13 losses=23 winrate=36.11% pnl_total=-0.689668406011110297814959599 max_dd=0.689668406011110297814959599 pf=0.4503608312102078295993185000 avg_win=0.04346902676230969753287183485 avg_loss=0.05455503277917984198879536748 expectancy=-0.01915745572253084160597109997 avg_trade_bars=4.47 open_position=False	2026-02-10 04:34:42.000 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=4 pnl=0.043337912412563609024667740 avg_pnl=0.010834478103140902256166935 avg_bars=8.25 | sl: n=23 pnl=-1.254765753921136365742293452 avg_pnl=-0.05455503277917984198879536748 avg_bars=3.91 | tp: n=9 pnl=0.521759435497462458902666113 avg_pnl=0.05797327061082916210029623478 avg_bars=4.22	2026-02-10 04:34:42.000 | INFO     | __main__:main:670 - REASONS | {'sl': 23, 'tp': 9, 'be': 4}
1.0	0.25	0.4	20	0.0015	0.0006	2026-02-10 04:34:48.062 | INFO     | __main__:main:653 - RESULT | trades=48 wins=18 losses=30 winrate=37.50% pnl_total=-0.883173555713641997610318824 max_dd=0.974830013973394890355740162 pf=0.3954565104693869687437044294 avg_win=0.03209554339851562290448591328 avg_loss=0.04869644456289744032970217543 expectancy=-0.01839944907736754161688164217 avg_trade_bars=4.19 open_position=False	2026-02-10 04:34:48.061 | INFO     | __main__:backtest_csv:504 - DIAG3 | be: n=7 pnl=0.083452032943005975147891396 avg_pnl=0.01192171899185799644969877086 avg_bars=5.86 | signal: n=1 pnl=-0.0352864050000000000 avg_pnl=-0.0352864050000000000 avg_bars=5.00 | sl: n=29 pnl=-1.425606931886923209891065263 avg_pnl=-0.04915885972023873137555397459 avg_bars=3.34 | tp: n=11 pnl=0.494267748230275237132855043 avg_pnl=0.04493343165729774883025954936 avg_bars=5.27	2026-02-10 04:34:48.062 | INFO     | __main__:main:670 - REASONS | {'sl': 29, 'tp': 11, 'signal': 1, 'be': 7}
